,GameId,Team,Home,Score,AST,TOV,STL,BLK,Rebounds,ORB,DRB,FGA,FGM,X3FGM,X3FGA,FTA,FTM,Fouls,Winner
216,108,Florida State Seminoles,1,68,12,14,3,4,34,9,25,56,25,6,19,17,12,12,
217,109,Virginia Tech Hokies,1,77,12,5,6,1,26,6,20,50,23,8,26,29,23,15,Virginia Tech Hokies
218,109,Duke Blue Devils,0,72,11,12,1,4,29,7,22,50,25,7,21,19,15,20,
219,110,Wake Forest Demon Deacons,1,76,12,13,4,1,40,14,26,61,24,9,26,23,19,22,Wake Forest Demon Deacons
220,110,Miami (FL) Hurricanes,0,75,15,9,10,5,31,8,23,54,20,11,31,29,24,15,
221,111,Syracuse Orange,0,85,17,10,5,3,23,7,16,60,29,14,31,23,13,26,North Carolina Tar Heels
222,111,North Carolina Tar Heels,1,93,19,9,5,2,38,16,22,62,25,9,29,37,34,18,
223,112,Pittsburgh Panthers,1,48,8,13,7,5,27,5,22,44,12,3,14,28,21,13,Clemson Tigers
224,112,Clemson Tigers,0,62,18,13,6,6,32,4,28,52,22,10,26,9,8,23,
225,113,Virginia Cavaliers,1,81,17,7,3,5,37,8,29,54,30,9,17,17,12,9,Virginia Cavaliers
226,113,Georgia Tech Yellow Jackets,0,51,7,7,4,3,20,5,15,56,21,5,17,7,4,13,
227,114,Boston College Eagles,1,66,12,4,6,4,36,7,29,61,22,6,21,24,16,13,Boston College Eagles
228,114,Louisville Cardinals,0,59,10,12,3,1,47,14,33,67,22,5,24,13,10,17,
229,115,North Carolina Tar Heels,0,81,19,14,5,3,38,10,28,63,26,13,33,24,16,17,North Carolina Tar Heels
230,115,Clemson Tigers,1,79,15,11,10,4,35,5,30,57,27,8,22,22,17,20,
231,116,Florida State Seminoles,1,78,9,16,4,9,35,10,25,54,26,3,13,30,23,18,Florida State Seminoles
232,116,North Carolina State Wolfpack,0,73,7,12,9,1,27,9,18,59,24,9,19,21,16,26,
233,117,Syracuse Orange,0,79,13,14,15,5,27,9,18,57,31,4,19,18,13,16,Syracuse Orange
234,117,Wake Forest Demon Deacons,1,54,10,22,9,1,28,10,18,52,17,8,23,16,12,18,
235,118,Pittsburgh Panthers,0,49,12,15,6,2,23,5,18,44,17,6,19,13,9,18,Virginia Cavaliers
236,118,Virginia Cavaliers,1,73,14,10,9,1,24,1,23,41,24,9,16,20,16,16,
237,119,Miami (FL) Hurricanes,0,57,11,16,11,3,28,11,17,63,22,6,24,12,7,16,Duke Blue Devils
